latitude;longitude;altitude;geometry;coordinates;line;sectionId;color;origin;destination
;;;LineString;-1.3611606135536,-5.981311001941407,-1.36116070295394,-5.981277378740224                                                                                                                                                                                       ;12;305;#7852  ;Pigalle                                   ;Abbesses                                  
;;;LineString;-1.360576237794012,-5.981658516323106,-1.3605760788789,-5.981717616244868                                                                                                                                                                                      ;2;36;#003ca6;Philippe Auguste                          ;Alexandre Dumas                           
;;;LineString;-1.361385240644232,-5.981840207783663,-1.361362576058664,-5.981840143459976,-1.361360561840275,-5.981839885899837,-1.361358430603211,-5.981839187148278,-1.361356437566132,-5.981838157215457,-1.36135483870501,-5.981836907255809,-1.361344166757857,-5.981826;9;225;#b6bd00;Iéna                                      ;Alma - Marceau                            
;;;LineString;-1.360987242942106,-5.982169990793703,-1.360987177170162,-5.982187214032093,-1.360987051628031,-5.982212872921497                                                                                                                                              ;4;87;#cf009e;Mouton-Duvernet                           ;Alésia                                    
;;;LineString;-1.361780076335556,-5.981184218249767,-1.361728201497333,-5.981235865950916                                                                                                                                                                                    ;3;54;#837902;Pont de Levallois - Bécon                 ;Anatole France                            
;;;LineString;-1.3611606135536,-5.981311001941407,-1.361111354201788,-5.981310861110858                                                                                                                                                                                      ;2;42;#003ca6;Pigalle                                   ;Anvers                                    
;;;LineString;-1.361592258623829,-5.981533444588162,-1.361498007641238,-5.9815723192116                                                                                                                                                                                      ;1;20;#ffcd00;Porte Maillot                             ;Argentine                                 
;;;LineString;-1.360845291773525,-5.981658454331606,-1.360845480581589,-5.981588350357679,-1.360845231846866,-5.981586332685402,-1.360844546533977,-5.981584197239019,-1.360843530400794,-5.981582198254808,-1.360842288827101,-5.981580589206605,-1.360836394464588,-5.98157;11;285;#704b1c;Rambuteau                                 ;Arts et Métiers                           
;;;LineString;-1.360881592742566,-5.981577584640204,-1.360853771915388,-5.981577505335739,-1.360851755406533,-5.981577247780407,-1.360849626812624,-5.981576551331211,-1.360847634895068,-5.981575524074723,-1.360846033364915,-5.981574271827816,-1.360841413798501,-5.98156;3;67;#837902;Réaumur - Sébastopol                      ;Arts et Métiers                           
;;;LineString;-1.361632587357471,-5.980839015536326,-1.36163270483574,-5.980795887948616                                                                                                                                                                                     ;13;331;#6ec4e8;Les Agnettes                              ;Asnières - Gennevilliers - Les Courtilles 
;;;LineString;-1.36109684792001,-5.981842697538123,-1.361096902219639,-5.981822389008681,-1.36109697340711,-5.981821411205626,-1.361097174430533,-5.981820372491356,-1.361097490367403,-5.981819305942769,-1.36109790212105,-5.981818241578899,-1.361098398190119,-5.98181721;12;309;#7852  ;Solférino                                 ;Assemblée nationale                       
;;;LineString;-1.360388358332538,-5.980968483294228,-1.360498511065396,-5.981079375394313                                                                                                                                                                                    ;7;146;#fa9aba;Fort d'Aubervilliers                      ;Aubervilliers - Pantin - Quatre Chemins   
;;;LineString;-1.361340086210127,-5.982052895642092,-1.361329761237292,-5.982042498565724,-1.361316448091848,-5.982029049423117                                                                                                                                              ;10;272;#c9910d;Charles Michels                           ;Avenue Émile-Zola                         
;;;LineString;-1.3605760788789,-5.981717616244868,-1.360575897367082,-5.981785063994008                                                                                                                                                                                      ;2;24;#003ca6;Alexandre Dumas                           ;Avron                                     
;;;LineString;-1.361111354201788,-5.981310861110858,-1.361083148529945,-5.981310781365837                                                                                                                                                                                    ;2;31;#003ca6;Anvers                                    ;Barbès - Rochechouart                     
;;;LineString;-1.361083286249341,-5.981259801362688,-1.361083148529945,-5.981310781365837                                                                                                                                                                                    ;4;88;#cf009e;Château Rouge                             ;Barbès - Rochechouart                     
;;;LineString;-1.360921995938072,-5.980893291740464,-1.360826919482189,-5.980893022755151,-1.360714742900683,-5.980780089497869                                                                                                                                              ;13;335;#6ec4e8;Saint-Denis - Porte de Paris              ;Basilique de Saint-Denis                  
;;;LineString;-1.360767337206084,-5.9817414768929,-1.360767308213706,-5.981752236096574,-1.360767239311674,-5.981753213907849,-1.360767048178748,-5.981754252653204,-1.360766750113298,-5.981755320779532,-1.360766353193278,-5.981756385189815,-1.360765873094102,-5.9817574;8;188;#e19bdf;Chemin Vert                               ;Bastille                                  
;;;LineString;-1.360789246977162,-5.981876912276721,-1.360789281041902,-5.981864342891353,-1.360789365938667,-5.981832674818955,-1.360789302511891,-5.981831697763041,-1.360789118723982,-5.981830657158437,-1.360788825122676,-5.981829588440988,-1.360788435692851,-5.98182;5;107;#ff7e2e;Quai de la Rapée                          ;Bastille                                  
;;;LineString;-1.360840286895328,-5.981730396209077,-1.3607960697718,-5.981774424494104,-1.360792467440136,-5.981776676801921,-1.360788314409011,-5.98177760647383,-1.360761134365024,-5.981777529465395,-1.360756983992754,-5.981778460288857,-1.360753376697768,-5.98178072;1;10;#ffcd00;Saint-Paul                                ;Bastille                                  
;;;LineString;-1.360575744265797,-5.981905277179926,-1.360575678360728,-5.981930189048581                                                                                                                                                                                    ;6;139;#6eca97;Picpus                                    ;Bel-Air                                   
;;;LineString;-1.360686738788414,-5.98139903600588,-1.360677600976872,-5.981408129657556,-1.360642367942546,-5.98144319623479                                                                                                                                                ;2;40;#003ca6;Colonel Fabien                            ;Belleville                                
;;;LineString;-1.360691965028644,-5.981493129841665,-1.360642367942546,-5.98144319623479                                                                                                                                                                                     ;11;278;#704b1c;Goncourt                                  ;Belleville                                
;;;LineString;-1.360600248070767,-5.981979680804649,-1.360636638406253,-5.982016314486979                                                                                                                                                                                    ;6;140;#6eca97;Dugommier                                 ;Bercy                                     
;;;LineString;-1.36076712944571,-5.981886397236234,-1.360636638406253,-5.982016314486979                                                                                                                                                                                     ;14;350;#62259d;Gare de Lyon                              ;Bercy                                     
;;;LineString;-1.360593374369257,-5.982064043975978,-1.360593318469612,-5.982084971449555,-1.36059356683275,-5.982086987963546,-1.36059425138829,-5.982089123390152,-1.360595265997824,-5.982091123494103,-1.360596506425262,-5.982092733665072,-1.360623036141689,-5.9821194;14;348;#62259d;Cour Saint-Émilion                        ;Bibliothèque François-Mitterrand          
;;;LineString;-1.361798812456062,-5.982348891551219,-1.361722248075411,-5.982348674950975                                                                                                                                                                                    ;9;234;#b6bd00;Pont de Sèvres                            ;Billancourt                               
;;;LineString;-1.361333966722327,-5.981979003901314,-1.361359684878815,-5.981953399195654                                                                                                                                                                                    ;6;137;#6eca97;Dupleix                                   ;Bir-Hakeim                                
;;;LineString;-1.361251178974499,-5.981311257664983,-1.361203972969804,-5.981311122808843                                                                                                                                                                                    ;2;44;#003ca6;Place de Clichy                           ;Blanche                                   
;;;LineString;-1.360140303054746,-5.981054962803681,-1.36017776864172,-5.981092676570287,-1.360177931674968,-5.981092846840032,-1.360178094297124,-5.981093028148976,-1.360178253095506,-5.981093217060756,-1.360178409584734,-5.981093415864037,-1.360178564908752,-5.981093;5;114;#ff7e2e;Bobigny - Pablo Picasso                   ;Bobigny - Pantin - Raymond Queneau        
;;;LineString;-1.361426320943615,-5.981840323580085,-1.361426324038328,-5.981839221851001,-1.361426521552343,-5.981766199307202                                                                                                                                              ;6;128;#6eca97;Trocadéro                                 ;Boissière                                 
;;;LineString;-1.360724228484084,-5.981361722678038,-1.360704032810006,-5.981341394624673,-1.360703246112932,-5.981340699825179,-1.360702798338171,-5.981340370349205,-1.36070231934782,-5.98134005334484,-1.360701815602914,-5.981339749973139,-1.360701288230342,-5.9813394;7b             ;364;#6eca97;Jaurès                                    ;Bolivar                                   
;;;LineString;-1.361007356023392,-5.981533951243406,-1.360949388361185,-5.9815337876335                                                                                                                                                                                      ;8;215;#e19bdf;Grands Boulevards                         ;Bonne-Nouvelle                            
