entry_id;order;station_name;line;branch;split;direction;station_origin;station_destination;service
0;1;La Défense;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
1;2;Esplanade de La Défense ;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
2;3;Pont de Neuilly;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
3;4;Les Sablons;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
4;5;Porte Maillot;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
5;6;Argentine;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
6;7;Charles de Gaulle - Étoile;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
7;8;George V;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
8;9;Franklin D. Roosevelt;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
9;10;Champs-Élysées - Clemenceau;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
10;11;Concorde;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
11;12;Tuileries;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
12;13;Palais-Royal - Musée du Louvre;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
13;14;Louvre - Rivoli;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
14;15;Châtelet;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
15;16;Hôtel de Ville;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
16;17;Saint-Paul;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
17;18;Bastille;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
18;19;Gare de Lyon;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
19;20;Reuilly - Diderot;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
20;21;Nation;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
21;22;Porte de Vincennes;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
22;23;Saint-Mandé;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
23;24;Bérault;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
24;25;Château de Vincennes;1;0;0;0;La Défense;Château de Vincennes;La Défense -> Château de Vincennes
25;1;Château de Vincennes;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
26;2;Bérault;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
27;3;Saint-Mandé;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
28;4;Porte de Vincennes;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
29;5;Nation;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
30;6;Reuilly - Diderot;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
31;7;Gare de Lyon;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
32;8;Bastille;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
33;9;Saint-Paul;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
34;10;Hôtel de Ville;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
35;11;Châtelet;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
36;12;Louvre - Rivoli;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
37;13;Palais-Royal - Musée du Louvre;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
38;14;Tuileries;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
39;15;Concorde;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
40;16;Champs-Élysées - Clemenceau;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
41;17;Franklin D. Roosevelt;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
42;18;George V;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
43;19;Charles de Gaulle - Étoile;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
44;20;Argentine;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
45;21;Porte Maillot;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
46;22;Les Sablons;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
47;23;Pont de Neuilly;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
48;24;Esplanade de La Défense ;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
49;25;La Défense;1;0;0;1;Château de Vincennes;La Défense;Château de Vincennes -> La Défense
50;1;Porte Dauphine;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
51;2;Victor Hugo;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
52;3;Charles de Gaulle - Étoile;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
53;4;Ternes;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
54;5;Courcelles;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
55;6;Monceau;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
56;7;Villiers;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
57;8;Rome;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
58;9;Place de Clichy;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
59;10;Blanche;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
60;11;Pigalle;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
61;12;Anvers;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
62;13;Barbès - Rochechouart;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
63;14;La Chapelle;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
64;15;Stalingrad;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
65;16;Jaurès;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
66;17;Colonel Fabien;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
67;18;Belleville;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
68;19;Couronnes;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
69;20;Ménilmontant;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
70;21;Père Lachaise;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
71;22;Philippe Auguste;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
72;23;Alexandre Dumas;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
73;24;Avron;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
74;25;Nation;2;0;0;0;Porte Dauphine;Nation;Porte Dauphine -> Nation
75;1;Nation;2;0;0;1;Nation;Porte Dauphine;Nation -> Porte Dauphine
76;2;Avron;2;0;0;1;Nation;Porte Dauphine;Nation -> Porte Dauphine
77;3;Alexandre Dumas;2;0;0;1;Nation;Porte Dauphine;Nation -> Porte Dauphine
78;4;Philippe Auguste;2;0;0;1;Nation;Porte Dauphine;Nation -> Porte Dauphine
79;5;Père Lachaise;2;0;0;1;Nation;Porte Dauphine;Nation -> Porte Dauphine
