Geo Point;station_x;station_y;station_x_untruncated;station_y_untruncated;Geo Shape3;Geo Shape2;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
;-1,36181;-5,98123;-1,36180596;-5,981225383;"{""type"": ""Point"", ""coordinates"": [-1.361805959595469, -5.981225383492586]}";"{""type"": ""Point"", ""coordinates"": [-1.361805959595469, -5.981225383492586]}";52354;668;PONT DE LEVALLOIS-BÉCON;Pont de Levallois-Bécon;METRO;METRO 3;A01536;METRO 3;METRO 3-103081;3;227.67754605;409.85970932
;-1,36167;-5,98091;-1,361674878;-5,980906677;"{""type"": ""Point"", ""coordinates"": [-1.361674878039542, -5.98090667691037]}";"{""type"": ""Point"", ""coordinates"": [-1.361674878039542, -5.98090667691037]}";43042;297;GABRIEL PÉRI;Gabriel Péri;METRO;;A01546;METRO 13;METRO 13-113075;13;251.50671387;459.71612549
;-1,36075;-5,98255;-1,360748619;-5,982548555;"{""type"": ""Point"", ""coordinates"": [-1.360748619427535, -5.982548554535288]}";"{""type"": ""Point"", ""coordinates"": [-1.360748619427535, -5.982548554535288]}";53207;898;VILLEJUIF PAUL VAILLANT-COUTURIER;Villejuif Paul Vaillant-Couturier;METRO;;A01540;METRO 7;METRO 7-107099;7;385.42651367;188.67687988
;-1,36175;-5,98127;-1,361751452;-5,981274247;"{""type"": ""Point"", ""coordinates"": [-1.361751451616092, -5.98127424657041]}";"{""type"": ""Point"", ""coordinates"": [-1.361751451616092, -5.98127424657041]}";42195;16;ANATOLE FRANCE;Anatole France;METRO;;A01536;METRO 3;METRO 3-103079;3;235.98091086;401.55480111
;-1,36037;-5,98126;-1,36036954;-5,981256185;"{""type"": ""Point"", ""coordinates"": [-1.360369540366785, -5.981256184701731]}";"{""type"": ""Point"", ""coordinates"": [-1.360369540366785, -5.981256184701731]}";43364;348;HOCHE;Hoche;METRO;;A01538;METRO 5;METRO 5-105045;5;457.61791992;392.20147705
;-1,36111;-5,98118;-1,361110964;-5,98117767;"{""type"": ""Point"", ""coordinates"": [-1.361110963897279, -5.981177670444038]}";"{""type"": ""Point"", ""coordinates"": [-1.361110963897279, -5.981177670444038]}";44515;690;PORTE DE CLIGNACOURT;Pte de Clignacourt;METRO;METRO 4;A01537;METRO 4;METRO 4-104029;4;339.485879;411.33902351
;-1,36109;-5,98245;-1,361091865;-5,982454679;"{""type"": ""Point"", ""coordinates"": [-1.361091865198532, -5.982454679230115]}";"{""type"": ""Point"", ""coordinates"": [-1.361091865198532, -5.982454679230115]}";44069;505;MALAKOFF-RUE ETIENNE DOLET;Malakoff-Rue Etienne Dolet;METRO;;A01546;METRO 13;METRO 13-114035;13;331.2449111;206.74597037
;-1,36127;-5,98244;-1,361270646;-5,9824364;"{""type"": ""Point"", ""coordinates"": [-1.361270645751396, -5.982436399745493]}";"{""type"": ""Point"", ""coordinates"": [-1.361270645751396, -5.982436399745493]}";44050;495;MAIRIE D'ISSY;Mairie d'Issy;METRO;METRO 12;A01545;METRO 12;METRO 12-112031;12;302.75335601;211.25635874
;-1,36108;-5,98095;-1,361083501;-5,980953488;"{""type"": ""Point"", ""coordinates"": [-1.361083500720731, -5.98095348818784]}";"{""type"": ""Point"", ""coordinates"": [-1.361083500720731, -5.98095348818784]}";42447;126;CARREFOUR PLEYEL;Carrefour Pleyel;METRO;;A01546;METRO 13;METRO 13-114077;13;345.87127686;446.98229981
;-1,36051;-5,98137;-1,360514214;-5,981366994;"{""type"": ""Point"", ""coordinates"": [-1.360514214092644, -5.981366994426351]}";"{""type"": ""Point"", ""coordinates"": [-1.360514214092644, -5.981366994426351]}";45617;709;PRÉ-SAINT-GERVAIS;Pré-St-Gervais;METRO;METRO 7bis;A01550;METRO 7bis;METRO 7bis-117029;7b;433.45070594;375.74504279
;-1,36028;-5,98222;-1,360276197;-5,982222875;"{""type"": ""Point"", ""coordinates"": [-1.360276197192595, -5.982222874903703]}";"{""type"": ""Point"", ""coordinates"": [-1.360276197192595, -5.982222874903703]}";42545;150;CHARENTON-ECOLES;Charenton-Ecoles;METRO;;A01541;METRO 8;METRO 8-108079;8;464.02410889;236.62670898
;-1,36017;-5,98269;-1,360171446;-5,982686345;"{""type"": ""Point"", ""coordinates"": [-1.360171446080192, -5.98268634465285]}";"{""type"": ""Point"", ""coordinates"": [-1.360171446080192, -5.98268634465285]}";42778;224;CRÉTEIL-PRÉFECTURE;Créteil-Préfecture;METRO;;A01541;METRO 8;METRO 8-108091;8;476.71173754;161.50585211
;-1,36135;-5,98228;-1,361352191;-5,982275602;"{""type"": ""Point"", ""coordinates"": [-1.361352191174686, -5.982275601611405]}";"{""type"": ""Point"", ""coordinates"": [-1.361352191174686, -5.982275601611405]}";45357;47;BALARD;Balard;METRO;METRO 8;A01541;METRO 8;METRO 8-108019;8;291.10709954;237.71986631
;-1,36049;-5,9814;-1,360492501;-5,981397727;"{""type"": ""Point"", ""coordinates"": [-1.360492500862257, -5.981397726911088]}";"{""type"": ""Point"", ""coordinates"": [-1.360492500862257, -5.981397726911088]}";44529;698;PORTE DES LILAS;Pte des Lilas;METRO;METRO 3bis;A01549;METRO 3bis;METRO 3bis-111035;3b;436.65875627;370.63306731
;-1,36047;-5,98197;-1,360474982;-5,981969519;"{""type"": ""Point"", ""coordinates"": [-1.360474981943621, -5.981969518524997]}";"{""type"": ""Point"", ""coordinates"": [-1.360474981943621, -5.981969518524997]}";44140;546;MICHEL BIZOT;Michel Bizot;METRO;;A01541;METRO 8;METRO 8-108071;8;434.40667725;278.9453125
;-1,36045;-5,98204;-1,360453735;-5,982041028;"{""type"": ""Point"", ""coordinates"": [-1.360453735458851, -5.982041027503783]}";"{""type"": ""Point"", ""coordinates"": [-1.360453735458851, -5.982041027503783]}";44512;686;PORTE DE CHARENTON;Pte de Charenton;METRO;;A01541;METRO 8;METRO 8-108075;8;437.17921236;267.30999617
;-1,36153;-5,98217;-1,361528713;-5,982167093;"{""type"": ""Point"", ""coordinates"": [-1.361528712715998, -5.982167092769021]}";"{""type"": ""Point"", ""coordinates"": [-1.361528712715998, -5.982167092769021]}";44139;545;MICHEL ANGE-MOLITOR;Michel Ange-Molitor;METRO;;A01542;METRO 9;METRO 9-110035;9;263.77642534;256.65412747
;-1,36193;-5,98145;-1,36192688;-5,981449144;"{""type"": ""Point"", ""coordinates"": [-1.361926879838487, -5.981449144477867]}";"{""type"": ""Point"", ""coordinates"": [-1.361926879838487, -5.981449144477867]}";43536;414;LA DÉFENSE-GRANDE ARCHE;La Défense-Gde Arche;METRO;METRO 1;A01534;METRO 1;METRO 1-390;1;206.3172526;375.11189487
;-1,36189;-5,98146;-1,361893283;-5,981460984;"{""type"": ""Point"", ""coordinates"": [-1.361893282669803, -5.981460983891428]}";"{""type"": ""Point"", ""coordinates"": [-1.361893282669803, -5.981460983891428]}";42962;269;ESPLANADE DE LA DÉFENSE;Esplanade de la Défense;METRO;;A01534;METRO 1;METRO 1-101079;1;211.59684564;372.91900881
;-1,36142;-5,98186;-1,361418351;-5,981862077;"{""type"": ""Point"", ""coordinates"": [-1.361418351050156, -5.981862076666983]}";"{""type"": ""Point"", ""coordinates"": [-1.361418351050156, -5.981862076666983]}";44962;862;TROCADÉRO;Trocadéro;METRO;;A01539;METRO 6;METRO 6-109043;6;284.16383132;304.50334449
;-1,36092;-5,98174;-1,360917629;-5,9817399;"{""type"": ""Point"", ""coordinates"": [-1.36091762879918, -5.981739900062868]}";"{""type"": ""Point"", ""coordinates"": [-1.36091762879918, -5.981739900062868]}";44487;673;PONT MARIE;Pont Marie;METRO;;A01540;METRO 7;METRO 7-107065;7;365.49584136;319.62463532
