Geo Point;origin_x;origin_y;arrival_x;arrival_y;Geo Shape;IDREFLIGA;IDREFLIGC;LIGNE;MODE_;FOURCHE
-5.98179665231,-1.36072591842;-1,36075;-5,98177;-1,36072;-5,98183;"{""type"": ""LineString"", ""coordinates"": [[-1.360749020676382, -5.981767717030479, 0.0], [-1.360721413023647, -5.98179246943124, 0.0], [-1.360718953786815, -5.98179594288581, 0.0], [-1.360717784597246, -5.981800033731527, 0.0], [-1.36071602527387, -5.981831965287592, 0.0]]}";A01534;C01371;1;METRO;0
-5.98145506358,-1.36191008072;-1,36193;-5,98145;-1,36189;-5,98146;"{""type"": ""LineString"", ""coordinates"": [[-1.361926878699481, -5.981449144414828, 0.0], [-1.361893282732786, -5.981460982751047, 0.0]]}";A01534;C01371;1;METRO;0
-5.98147804622,-1.36184486633;-1,36189;-5,98146;-1,36180;-5,98150;"{""type"": ""LineString"", ""coordinates"": [[-1.361893282732786, -5.981460982751047, 0.0], [-1.361796449923923, -5.981495109688467, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171797776,-1.36131155932;-1,36134;-5,98170;-1,36128;-5,98172;"{""type"": ""LineString"", ""coordinates"": [[-1.361341666211697, -5.9817015763788, 0.0], [-1.361319364109626, -5.981720872602024, 0.0], [-1.361315609812532, -5.981722894887224, 0.0], [-1.361311402100374, -5.981723590386482, 0.0], [-1.361277158173531, -5.981721698652072, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171604843,-1.36117483459;-1,36121;-5,98172;-1,36114;-5,98171;"{""type"": ""LineString"", ""coordinates"": [[-1.361206761980655, -5.981717811883086, 0.0], [-1.361142907196981, -5.981714284971393, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171265528,-1.36111339943;-1,36114;-5,98171;-1,36108;-5,98171;"{""type"": ""LineString"", ""coordinates"": [[-1.361142907196981, -5.981714284971393, 0.0], [-1.361083891670078, -5.981711025590659, 0.0]]}";A01534;C01371;1;METRO;0
-5.98170918744,-1.36085317546;-1,36087;-5,98170;-1,36084;-5,98172;"{""type"": ""LineString"", ""coordinates"": [[-1.360868756285275, -5.98169914906538, 0.0], [-1.36086456399895, -5.981699861837353, 0.0], [-1.360860844590108, -5.981701928397261, 0.0], [-1.360838872219219, -5.981721628091912, 0.0]]}";A01534;C01371;1;METRO;0
-5.98184234661,-1.36059763574;-1,36063;-5,98184;-1,36057;-5,98184;"{""type"": ""LineString"", ""coordinates"": [[-1.360627482034848, -5.98184398969631, 0.0], [-1.360567789450301, -5.981840703525942, 0.0]]}";A01534;C01371;1;METRO;0
-5.98185713761,-1.36025322147;-1,36028;-5,98186;-1,36023;-5,98186;"{""type"": ""LineString"", ""coordinates"": [[-1.360276578937109, -5.981858437672479, 0.0], [-1.360229864011637, -5.981855837551725, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171975527,-1.36124196008;-1,36128;-5,98172;-1,36121;-5,98172;"{""type"": ""LineString"", ""coordinates"": [[-1.361277158173531, -5.981721698652072, 0.0], [-1.361206761980655, -5.981717811883086, 0.0]]}";A01534;C01371;1;METRO;0
-5.98175201206,-1.36079684718;-1,36084;-5,98172;-1,36075;-5,98177;"{""type"": ""LineString"", ""coordinates"": [[-1.360838872219219, -5.981721628091912, 0.0], [-1.360792411431324, -5.981763281892263, 0.0], [-1.360788696159847, -5.981765342581898, 0.0], [-1.360784500165038, -5.981766053626869, 0.0], [-1.360757361400667, -5.981764554230379, 0.0], [-1.360753168000802, -5.981765266564478, 0.0], [-1.360749447374992, -5.981767334585088, 0.0], [-1.360749020676382, -5.981767717030479, 0.0]]}";A01534;C01371;1;METRO;0
-5.98184533996,-1.36067764676;-1,36072;-5,98183;-1,36063;-5,98184;"{""type"": ""LineString"", ""coordinates"": [[-1.36071602527387, -5.981831965287592, 0.0], [-1.360715346510974, -5.981844278855815, 0.0], [-1.360713838381722, -5.981847411088062, 0.0], [-1.360710568676125, -5.981848568407499, 0.0], [-1.360697897609927, -5.98184786824911, 0.0], [-1.360627482034848, -5.98184398969631, 0.0]]}";A01534;C01371;1;METRO;0
-5.9818450075,-1.3603898203;-1,36045;-5,98183;-1,36033;-5,98186;"{""type"": ""LineString"", ""coordinates"": [[-1.36045449699314, -5.981834464700497, 0.0], [-1.360398616314517, -5.981831388479256, 0.0], [-1.360396149181785, -5.98183211515552, 0.0], [-1.360362606566056, -5.98186218401901, 0.0], [-1.360360305473006, -5.981863062483125, 0.0], [-1.360327076813223, -5.98186122735026, 0.0]]}";A01534;C01371;1;METRO;0
-5.98151555941,-1.36173842313;-1,36180;-5,98150;-1,36168;-5,98154;"{""type"": ""LineString"", ""coordinates"": [[-1.361796449923923, -5.981495109688467, 0.0], [-1.36168039632638, -5.981536009130623, 0.0]]}";A01534;C01371;1;METRO;0
-5.98155015534,-1.36164025869;-1,36168;-5,98154;-1,36160;-5,98156;"{""type"": ""LineString"", ""coordinates"": [[-1.36168039632638, -5.981536009130623, 0.0], [-1.361600121048015, -5.981564301545829, 0.0]]}";A01534;C01371;1;METRO;0
-5.98161113353,-1.3614672927;-1,36150;-5,98160;-1,36143;-5,98162;"{""type"": ""LineString"", ""coordinates"": [[-1.361503964692529, -5.981598190177645, 0.0], [-1.361436013073899, -5.981622139659692, 0.0], [-1.361430782178251, -5.981624481310456, 0.0]]}";A01534;C01371;1;METRO;0
-5.98164735484,-1.36140433958;-1,36143;-5,98162;-1,36138;-5,98167;"{""type"": ""LineString"", ""coordinates"": [[-1.361430782178251, -5.981624481310456, 0.0], [-1.361377896978577, -5.981670228367321, 0.0]]}";A01534;C01371;1;METRO;0
-5.98170712334,-1.36101319871;-1,36104;-5,98171;-1,36099;-5,98171;"{""type"": ""LineString"", ""coordinates"": [[-1.361039803124305, -5.981708592857752, 0.0], [-1.360986594286839, -5.981705653812575, 0.0]]}";A01534;C01371;1;METRO;0
-5.98183758411,-1.36051114322;-1,36057;-5,98184;-1,36045;-5,98183;"{""type"": ""LineString"", ""coordinates"": [[-1.360567789450301, -5.981840703525942, 0.0], [-1.36045449699314, -5.981834464700497, 0.0]]}";A01534;C01371;1;METRO;0
-5.98185983251,-1.36030182788;-1,36033;-5,98186;-1,36028;-5,98186;"{""type"": ""LineString"", ""coordinates"": [[-1.360327076813223, -5.98186122735026, 0.0], [-1.360276578937109, -5.981858437672479, 0.0]]}";A01534;C01371;1;METRO;0
