from_stop_id,to_stop_id,transfer_type,min_transfer_time
7986272,2220,2,246
967988,1647,2,180
2430,1753,2,139
6591535,1682,2,211
7899413,967988,2,207
1964,2220,2,400
7899413,967989,2,207
6591442,1753,2,206
7898907,2436,2,208
7931357,1753,2,204
9416558,1753,2,206
6640126,1875,2,198
7898955,2066,2,271
8838664,1965,2,246
7986309,2289,2,215
8985247,2218,2,187
3343777,967989,2,180
9416527,1905,2,237
7945916,2220,2,245
2377,967988,2,180
2377,967989,2,180
9128567,1965,2,189
7161643,2220,2,213
7275452,2220,2,221
7275150,2220,2,207
6591836,2492,2,270
6591833,1875,2,198
9416520,967988,2,217
9416520,967989,2,217
7922512,1965,2,346
3343778,967988,2,180
3343778,967989,2,180
6591456,1965,2,200
6591840,1963,2,216
6591545,2051,2,243
8985259,2218,2,205
7161644,2220,2,213
6591447,2066,2,214
7931337,2051,2,243
7899985,2220,2,157
9416546,2066,2,196
4459252,1965,2,246
7932157,2289,2,270
7932203,2100,2,214
7932206,2220,2,245
7899668,1965,2,284
9416561,1753,2,253
7899670,1965,2,308
7275453,1965,2,208
4037197,1965,2,207
4037196,2289,2,245
7945917,1965,2,200
7931408,2408,2,202
7985526,2431,2,248
9416181,1965,2,209
7899533,2408,2,202
4036986,1965,2,189
1967,2220,2,480
6591545,2100,2,243
6591844,2051,2,214
7986311,1965,2,293
7899668,1893,2,215
7931349,2066,2,196
7922510,1965,2,152
7899414,967988,2,243
7899414,967989,2,243
7647746,1753,2,199
6591833,2271,2,198
7899669,2220,2,157
8451934,1965,2,194
6640126,2271,2,198
7921219,1965,2,282
7931360,2431,2,211
7931461,1682,2,250
7931341,967988,2,204
9296092,1965,2,157
9416555,2492,2,211
7647707,1753,2,211
9416535,2051,2,213
7899616,2220,2,245
7931341,967989,2,204
7945916,1965,2,245
6591445,2266,2,237
2221,2220,2,123
7898910,2115,2,214
7921220,1965,2,314
7932040,2431,2,189
6591524,2051,2,243
6591444,2492,2,270
6591838,1758,2,206
7931362,2492,2,270
4037268,967988,2,217
6591536,1875,2,188
7932206,1965,2,245
9416184,2220,2,194
6591531,2115,2,196
4037268,967989,2,217
2289,1892,2,144
7275450,1965,2,243
4036982,2100,2,243
7899669,1965,2,157
7991690,2436,2,208
7275450,2220,2,243
8451934,2220,2,194
2548,2115,2,132
