from_stop_id,to_stop_id,transfer_type,min_transfer_time
9416640,2075,2,225
7899175,1902,2,220
7898903,2013,2,262
7931410,2191,2,225
7899536,2434,2,206
7899137,2328,2,196
1860,2328,2,75
7931407,1797,2,255
1797,1798,2,75
7899550,2191,2,226
7899175,2298,2,220
9416670,2328,2,196
7931410,2002,2,225
7899528,2298,2,205
1902,2296,2,143
1860,1861,2,60
7931408,1797,2,202
7899536,1756,2,206
9416672,2124,2,225
7931409,2002,2,226
4035811,1861,2,270
4035557,1861,2,270
7899532,2191,2,225
7898903,2132,2,262
7899554,2298,2,269
7899535,1756,2,275
4035818,2298,2,243
2327,2328,2,60
4035555,1902,2,269
7946082,2328,2,270
1901,2298,2,166
8985250,1861,2,270
1861,4036974,2,270
1861,4036975,2,251
2298,1900,2,133
7899136,1861,2,251
4035556,2298,2,205
7898899,2002,2,209
2297,1902,2,168
7899139,2124,2,195
7898902,2013,2,192
7898899,2191,2,209
9416670,1861,2,196
7899549,1797,2,255
7946135,1861,2,260
4035558,2328,2,251
7898898,2002,2,187
7898898,2191,2,187
7898902,2132,2,192
9416639,1902,2,220
7899140,2075,2,225
4035555,2298,2,269
1902,5747226,2,205
1902,5747225,2,269
7899550,2002,2,226
4035818,1902,2,243
8985250,2328,2,270
1797,2408,2,79
7899554,1902,2,269
1902,1900,2,143
7899136,2328,2,251
2328,4036974,2,270
2328,4036975,2,251
7932182,1635,2,212
2297,2298,2,161
2328,5747227,2,270
2328,5747228,2,251
7899532,2002,2,225
9416671,2298,2,220
7899138,1902,2,243
4035556,1902,2,205
7946135,2328,2,260
2327,1861,2,70
2298,5747225,2,269
2298,5747226,2,205
9416672,2075,2,225
2298,4036973,2,205
2298,4036972,2,269
4035812,1861,2,251
9416638,1861,2,196
9416671,1902,2,220
7931409,2191,2,226
7899138,2298,2,243
7899535,2434,2,275
7932183,1635,2,202
7946082,1861,2,270
1902,4036972,2,269
1902,4036973,2,205
1901,1902,2,174
7899140,2124,2,225
2298,2296,2,133
4035811,2328,2,270
4035557,2328,2,270
9416638,2328,2,196
9416640,2124,2,225
7899139,2075,2,195
7899528,1902,2,205
7899533,1797,2,202
9416639,2298,2,220
1861,5747227,2,270
7899137,1861,2,196
4035812,2328,2,251
1861,5747228,2,251
4035558,1861,2,251
