from_stop_id,to_stop_id,transfer_type,min_transfer_time
22790,9327057,2,250
5231725,22789,2,270
3730668,22789,2,310
3764139,22789,2,216
22789,9327057,2,250
5231724,22790,2,216
9221764,22792,2,41
8452019,22793,2,136
5122193,22790,2,218
8452018,22793,2,37
8452019,22794,2,136
22794,4284899,2,151
9221764,22791,2,41
8452018,22794,2,37
2095,22790,2,150
3730667,22790,2,322
5231724,22789,2,216
3730668,22790,2,310
5231725,22790,2,270
5122192,22790,2,216
3764140,22789,2,232
2045,22790,2,150
22794,4677737,2,37
22794,4677736,2,37
3764139,22790,2,216
3764140,22790,2,232
9221765,22792,2,30
9221765,22791,2,30
3730667,22789,2,322
8452017,22794,2,26
2045,22789,2,150
22789,8290121,2,250
8452017,22793,2,26
5122192,22789,2,216
22793,4677736,2,37
22790,8290122,2,322
22790,8290121,2,250
22793,4677737,2,37
9221766,22793,2,26
9221766,22794,2,26
2095,22789,2,150
4471786,22793,2,37
4471786,22794,2,37
22789,8290122,2,322
4471787,22794,2,37
22793,4284899,2,151
4471787,22793,2,37
5122193,22789,2,218
