Geo Point;Geo Shape;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.98007803257,-1.36033778334;"{""type"": ""Point"", ""coordinates"": [-1.360337783342172, -5.980078032570201]}";47968;452;LES NOUES;Les Noues;RER;;A01842;RER D;RER D-258;D;473.13249029;580.51601099
-5.98191620771,-1.3599288125;"{""type"": ""Point"", ""coordinates"": [-1.359928812498765, -5.981916207713364]}";46552;593;NOGENT-LE-PERREUX;Nogent-le-Perreux;RER;;A01843;RER E;RER E-354;E;522.41314696;282.64086081
-5.98202161098,-1.35911709949;"{""type"": ""Point"", ""coordinates"": [-1.359117099489663, -5.982021610978381]}";47199;281;FAREMOUTIERS-POMMEUSE;Faremoutiers-Pommeuse;TRAIN;;A01844;TRAIN P;TRAIN P-29;P;651.57419685;258.57821944
-5.98296525002,-1.36128532665;"{""type"": ""Point"", ""coordinates"": [-1.361285326647551, -5.982965250021497]}";43228;445;LES BACONNETS;Les Baconnets;RER;;A01857;RER B;RER B-304;B;295.71981084;126.72696015
-5.98318548963,-1.36148236789;"{""type"": ""Point"", ""coordinates"": [-1.36148236789069, -5.983185489634568]}";43175;617;PALAISEAU-VILLEBON;Palaiseau-Villebon;RER;;A01857;RER B;RER B-173;B;262.1901076;93.21638448
-5.9833760671,-1.36196661903;"{""type"": ""Point"", ""coordinates"": [-1.361966619027061, -5.983376067099207]}";47046;401;LA HACQUINIERE;La Hacquiniere;RER;;A01857;RER B;RER B-182;B;182.89100485;66.99954431
-5.98255660013,-1.36191085378;"{""type"": ""Point"", ""coordinates"": [-1.361910853777285, -5.982556600125772]}";43241;175;CHAVILLE RIVE DROITE;Chaville R.D.;TRAIN;;A02176;TRAIN L;TRAIN L-382;L;196.35701882;188.10906834
-5.98141473424,-1.36215616306;"{""type"": ""Point"", ""coordinates"": [-1.362156163060993, -5.981414734237219]}";43171;580;NANTERRE-VILLE;Nanterre-Ville;RER;;A01856;RER A;RER A-387;A;169.87481536;382.65233479
-5.98048377706,-1.36179151969;"{""type"": ""Point"", ""coordinates"": [-1.361791519691475, -5.980483777055077]}";43189;782;SANNOIS;Sannois;TRAIN;;A01852;TRAIN J;TRAIN J-222;J;236.55621857;528.44664762
-5.980513925,-1.3626686889;"{""type"": ""Point"", ""coordinates"": [-1.362668688895148, -5.980513925002462]}";43079;263;ERAGNY-NEUVILLE;Eragny-Neuville;TRAIN;;A01852;TRAIN J;TRAIN J-247;J;95.70796793;531.39478752
-5.98036346661,-1.36270644494;"{""type"": ""Point"", ""coordinates"": [-1.362706444940333, -5.980363466613954]}";47955;834;ST-OUEN-L'AUMONE (QUARTIER DE L'EGLISE);St-Ouen-l'Aumone (Quartier de l'Eglise);TRAIN;;A01852;TRAIN J;TRAIN J-251;J;90.98887909;555.81440594
-5.98172209983,-1.36247159725;"{""type"": ""Point"", ""coordinates"": [-1.362471597251779, -5.981722099834848]}";43199;975;SAINT-GERMAIN-BEL-AIR-FOURQUEUX;Saint-Germain-Bel-Air-Fourqueux;TRAIN;;A02176;TRAIN L;TRAIN L-461;L;116.59942947;332.75014247
-5.98227127065,-1.36216447428;"{""type"": ""Point"", ""coordinates"": [-1.362164474280154, -5.982271270654268]}";43216;876;VAUCRESSON;Vaucresson;TRAIN;;A02176;TRAIN L;TRAIN L-385;L;160.96042184;245.61154212
-5.9811260493,-1.3619890905;"{""type"": ""Point"", ""coordinates"": [-1.361989090496779, -5.981126049302689]}";43118;217;COURBEVOIE;Courbevoie;TRAIN;;A02176;TRAIN L;TRAIN L-392;L;199.20672379;427.38403861
-5.98087790034,-1.36141992588;"{""type"": ""Point"", ""coordinates"": [-1.361419925881877, -5.980877900343369]}";43230;450;LES GRESILLONS;Les Gresillons;RER;;A01840;RER C;RER C-429;C;292.62204215;462.06344493
-5.98033868059,-1.36130081224;"{""type"": ""Point"", ""coordinates"": [-1.361300812241081, -5.980338680590341]}";43073;249;ECOUEN-EZANVILLE;Ecouen-Ezanville;TRAIN;;A01849;TRAIN H;TRAIN H-262;H;316.4846446;547.32478912
-5.98028340279,-1.36130385534;"{""type"": ""Point"", ""coordinates"": [-1.361303855339534, -5.980283402790274]}";43120;239;DOMONT;Domont;TRAIN;;A01849;TRAIN H;TRAIN H-254;H;316.48617044;556.20043823
-5.98159694005,-1.36289689824;"{""type"": ""Point"", ""coordinates"": [-1.362896898240621, -5.981596940046315]}";46975;365;ISSOU-PORCHEVILLE;Issou-Porcheville;TRAIN;;A01852;TRAIN J;TRAIN J-117;J;49.54472923;360.05067621
-5.98329005442,-1.35934954513;"{""type"": ""Point"", ""coordinates"": [-1.359349545130982, -5.983290054421557]}";47136;922;VULAINES-SUR-SEINE-SAMOREAU;Vulaines-sur-Seine-Samoreau;TRAIN;;A01845;TRAIN R;TRAIN R-57;R;603.09832777;57.5814919
-5.98079275454,-1.36052050354;"{""type"": ""Point"", ""coordinates"": [-1.360520503536412, -5.980792754535122]}";43140;34;LA COURNEUVE-AUBERVILLIERS;La Courneuve-Aubervilliers;RER;;A01857;RER B;RER B-401;B;437.52409602;467.72424223
-5.98241571482,-1.36112977132;"{""type"": ""Point"", ""coordinates"": [-1.36112977131871, -5.982415714816703]}";43214;872;VANVES-MALAKOFF;Vanves-Malakoff;TRAIN;;A01847;TRAIN N;TRAIN N-286;N;325.51457909;213.31944933
-5.98292571111,-1.36124995382;"{""type"": ""Point"", ""coordinates"": [-1.361249953819042, -5.982925711112598]}";43124;286;FONTAINE-MICHALON;Fontaine-Michalon;RER;;A01857;RER B;RER B-302;B;301.73890622;132.74289255
-5.98205147665,-1.36147249753;"{""type"": ""Point"", ""coordinates"": [-1.361472497526246, -5.98205147664547]}";45419;40;AV. DU PDT KENNEDY;Av. du Pdt Kennedy;RER;;A01840;RER C;RER C-335;C;273.8093789;274.66388229
-5.9826029924,-1.36168488659;"{""type"": ""Point"", ""coordinates"": [-1.361684886587336, -5.982602992398126]}";43088;62;BELLEVUE;Bellevue;TRAIN;;A01847;TRAIN N;TRAIN N-289;N;234.88805988;188.2586744
-5.98070402468,-1.36258289849;"{""type"": ""Point"", ""coordinates"": [-1.362582898487325, -5.980704024684735]}";47447;205;CONFLANS-STE-HONORINE;Conflans-Ste-Honorine;TRAIN;;A01852;TRAIN J;TRAIN J-129;J;107.77444056;500.20366745
-5.98069661944,-1.36215314164;"{""type"": ""Point"", ""coordinates"": [-1.362153141639924, -5.980696619444816]}";47875;24;ARGENTEUIL;Argenteuil;TRAIN;;A01852;TRAIN J;TRAIN J-221;J;176.71595168;497.58007299
-5.98296196373,-1.36049375854;"{""type"": ""Point"", ""coordinates"": [-1.360493758544759, -5.982961963728652]}";46307;899;VILLENEUVE-LE-ROI;Villeneuve-le-Roi;RER;;A01840;RER C;RER C-424;C;422.61522221;120.23938423
-5.9816896993,-1.36309104814;"{""type"": ""Point"", ""coordinates"": [-1.363091048136542, -5.981689699297713]}";46983;749;ROSNY-SUR-SEINE;Rosny-sur-Seine;TRAIN;;;GL;GRD LIGNES-111;GL;17.60712223;346.9228002
-5.98107266196,-1.36175071102;"{""type"": ""Point"", ""coordinates"": [-1.36175071101633, -5.981072661955994]}";43112;191;CLICHY-LEVALLOIS;Clichy-Levallois;TRAIN;;A02176;TRAIN L;TRAIN L-399;L;237.88396582;433.81759347
-5.98247389674,-1.3609252993;"{""type"": ""Point"", ""coordinates"": [-1.360925299302076, -5.982473896739267]}";43607;403;LAPLACE;Laplace;RER;;A01857;RER B;RER B-308;B;357.7705079;202.19372529
-5.98236805083,-1.36093062986;"{""type"": ""Point"", ""coordinates"": [-1.360930629862864, -5.982368050831569]}";45877;327;GENTILLY;Gentilly;RER;;A01857;RER B;RER B-307;B;357.85295909;219.18492709
-5.98097418832,-1.3626987182;"{""type"": ""Point"", ""coordinates"": [-1.36269871819629, -5.980974188319668]}";47908;6;ACHERES-VILLE;Acheres-Ville;RER;;A01856;RER A;RER A-127;A;86.82039133;457.98323846
